s_no,iso_code,continent,location,last_updated_date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,population,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
202,SVN,Europe,Slovenia,21/04/2024,1355872,5,0.714,10055,1,0.143,639609.631,2.359,0.337,4743.276,0.472,0.067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.619,44.5,19.062,12.93,31400.84,,153.493,7.25,20.1,25,,4.5,81.32,0.917,2119843,,,,
203,SLB,Oceania,Solomon Islands,21/04/2024,25954,0,0,199,0,0,35834.604,0,0,274.759,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.841,20.8,3.507,2.043,2205.923,25.1,459.78,18.68,,,35.89,1.4,73,0.567,724272,,,,
204,SOM,Africa,Somalia,21/04/2024,27334,0,0,1361,0,0,1553.288,0,0,77.34,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.5,16.8,2.731,1.496,,,365.769,6.05,,,9.831,0.9,57.4,,17597508,,,,
205,ZAF,Africa,South Africa,21/04/2024,4072673,12,1.714,102595,0,0,67998.145,0.2,0.029,1712.946,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.754,27.3,5.344,3.053,12294.876,18.9,200.38,5.52,8.1,33.2,43.993,2.32,64.13,0.709,59893884,,,,
206,OWID_SAM,,South America,21/04/2024,68831603,768,109.714,1354111,28,4,157575.492,1.758,0.251,3099.953,0.064,0.009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,436816679,,,,
207,KOR,Asia,South Korea,21/04/2024,34571873,0,0,35934,0,0,667207.062,0,0,693.495,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,527.967,43.4,13.914,8.622,35938.374,0.2,85.998,6.8,6.2,40.9,,12.27,83.03,0.916,51815808,,,,
208,SSD,Africa,South Sudan,21/04/2024,18823,0,0,147,0,0,1724.796,0,0,13.47,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.2,3.441,2.032,1569.888,,280.775,10.43,,,,,57.85,0.433,10913172,,,,
209,ESP,Europe,Spain,21/04/2024,13980340,,,121852,,,293960.095,,,2562.143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.105,45.5,19.436,13.799,34272.36,1,99.403,7.17,27.4,31.4,,2.97,83.56,0.904,47558632,,,,
210,LKA,Asia,Sri Lanka,21/04/2024,672754,0,0,16899,0,0,30814.83,0,0,774.042,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,341.955,34.1,10.069,5.331,11669.077,0.7,197.093,10.68,0.3,27,,3.6,76.98,0.782,21832150,,,,
211,SDN,Africa,Sudan,21/04/2024,63993,0,0,5046,0,0,1365.207,0,0,107.65,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.258,19.7,3.548,2.034,4466.507,,431.388,15.67,,,23.437,0.8,65.31,0.51,46874200,,,,
212,SUR,South America,Suriname,21/04/2024,82496,0,0,1405,0,0,133478.738,0,0,2273.294,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.612,29.6,6.933,4.229,13767.119,,258.314,12.54,7.4,42.9,67.779,3.1,71.68,0.738,618046,,,,
213,SWE,Europe,Sweden,21/04/2024,2751651,79,11.286,27272,3,0.429,260836.095,7.489,1.07,2585.183,0.284,0.041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.718,41,19.985,13.433,46949.283,0.5,133.982,4.79,18.8,18.9,,2.22,82.8,0.945,10549349,,,,
214,CHE,Europe,Switzerland,21/04/2024,4453465,80,11.429,14188,0,0,509522.313,9.153,1.308,1623.253,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,214.243,43.1,18.436,12.644,57410.166,,99.739,5.59,22.6,28.9,,4.53,83.78,0.955,8740471,,,,
215,SYR,Asia,Syria,21/04/2024,57423,0,0,3163,0,0,2595.361,0,0,142.959,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.7,,2.577,,,376.264,,,,70.598,1.5,72.7,0.567,22125242,,,,
216,TJK,Asia,Tajikistan,21/04/2024,17786,0,0,125,0,0,1787.037,0,0,12.559,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.281,23.3,3.466,2.155,2896.913,4.8,427.698,7.11,,,72.704,4.8,71.1,0.668,9952789,,,,
217,TZA,Africa,Tanzania,21/04/2024,43225,0,0,846,0,0,659.946,0,0,12.916,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.699,17.7,3.108,1.874,2683.304,49.1,217.288,5.75,3.3,26.7,47.953,0.7,65.46,0.529,65497752,,,,
218,THA,Asia,Thailand,21/04/2024,4772632,1004,143.429,34593,3,0.429,66566.668,14.003,2,482.489,0.042,0.006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,135.132,40.1,11.373,6.89,16277.671,0.1,109.861,7.04,1.9,38.8,90.67,2.1,77.15,0.777,71697024,,,,
219,TLS,Asia,Timor,21/04/2024,23460,0,0,138,0,0,17490.52,0,0,102.885,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.176,18,3.556,1.897,6570.102,30.3,335.346,6.86,6.3,78.1,28.178,5.9,69.5,0.606,1341298,,,,
220,TGO,Africa,Togo,21/04/2024,39530,1,0.143,290,0,0,4467.323,0.113,0.016,32.773,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,143.366,19.4,2.839,1.525,1429.813,49.2,280.033,6.15,0.9,14.2,10.475,0.7,61.04,0.515,8848700,,,,
221,TKL,Oceania,Tokelau,21/04/2024,80,0,0,,0,0,42260.961,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.86,,1893,,,,
222,TON,Oceania,Tonga,21/04/2024,16958,0,0,12,0,0,158683.223,0,0,112.289,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150.028,22.3,5.82,4.032,5425.621,,227.49,15.42,11.8,44.4,,2.6,70.91,0.725,106867,,,,
223,TTO,North America,Trinidad and Tobago,21/04/2024,191496,0,0,4390,0,0,125075.52,0,0,2867.326,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,266.886,36.2,10.014,5.819,28763.071,,228.467,10.97,,,89.443,3,73.51,0.796,1531043,,,,
224,TUN,Africa,Tunisia,21/04/2024,1153361,0,0,29423,0,0,93343.329,0,0,2381.25,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.228,32.7,8.001,5.075,10849.297,2,318.991,8.52,1.1,65.8,78.687,2.3,76.7,0.74,12356116,,,,
225,TUR,Asia,Turkey,21/04/2024,17004714,0,0,101419,0,0,199255.511,0,0,1188.394,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104.914,31.6,8.153,5.061,25129.341,0.2,171.285,12.13,14.1,41.1,,2.81,77.69,0.82,85341248,,,,
226,TKM,Asia,Turkmenistan,21/04/2024,,0,0,,0,0,,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.253,26.9,4.277,2.541,16389.023,,536.783,7.11,,,100,7.4,68.19,0.715,6430777,,,,
227,TCA,North America,Turks and Caicos Islands,21/04/2024,6754,0,0,40,0,0,147705.9,0,0,874.776,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.312,,,,,,,,,,,,80.22,,45726,,,,
228,TUV,Oceania,Tuvalu,21/04/2024,2943,0,0,1,0,0,259638.288,0,0,88.222,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,373.067,,,,3575.104,3.3,,27.25,,,,,67.57,,11335,,,,
229,UGA,Africa,Uganda,21/04/2024,172149,0,0,3632,0,0,3643.397,0,0,76.868,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,213.759,16.4,2.168,1.308,1697.707,41.6,213.333,2.5,3.4,16.7,21.222,0.5,63.37,0.544,47249588,,,,
230,UKR,Europe,Ukraine,21/04/2024,5533407,169,24.143,109920,0,0,139374.406,4.257,0.608,2768.644,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.39,41.4,16.462,11.133,7894.393,0.1,539.849,7.11,13.5,47.4,,8.8,72.06,0.779,39701744,,,,
231,ARE,Asia,United Arab Emirates,21/04/2024,1067030,0,0,2349,0,0,113019.214,0,0,248.805,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112.442,34,1.144,0.526,67293.483,,317.84,17.26,1.2,37.4,,1.2,77.97,0.89,9441138,,,,
232,GBR,Europe,United Kingdom,21/04/2024,24920037,1410,201.429,232112,0,0,369136.865,20.886,2.984,3438.241,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,272.898,40.8,18.517,12.527,39753.244,0.2,122.137,4.28,20,24.7,,2.54,81.32,0.932,67508936,,,,
233,USA,North America,United States,25/04/2024,103436829,,,1186079,349,49.857,305763.91,,,3506.103,1.032,0.147,,566,1.673,4633,13.695,,,5396,15.951,,,,,,,,,,,,,,,,,,,,,,,,35.608,38.3,15.413,9.732,54225.446,1.2,151.089,10.79,19.1,24.6,,2.77,78.86,0.926,338289856,,,,
234,VIR,North America,United States Virgin Islands,21/04/2024,25389,0,0,132,0,0,255219.695,0,0,1326.913,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,306.48,42.2,18.601,10.799,,,273.67,12.26,,,,,80.58,,99479,,,,
235,OWID_UMC,,Upper middle income,07/05/2024,245698513,19263,2751.857,2667463,75,10.714,97270.85,7.626,1.089,1056.036,0.03,0.004,,,,,,,,,,,,,,,,,,,5449552586,2108967451,1990468704,1265827406,5,32,215.75,83.49,78.8,50.11,0,2,0,,,,,,,,,,,,,,,,2525921300,,,,
236,URY,South America,Uruguay,21/04/2024,1037893,0,0,7625,0,0,303229.582,0,0,2227.711,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.751,35.6,14.655,10.361,20551.409,0.1,160.708,6.93,14,19.9,,2.8,77.91,0.817,3422796,,,,
237,UZB,Asia,Uzbekistan,21/04/2024,175081,0,0,1016,0,0,5056.104,0,0,29.341,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.134,28.2,4.469,2.873,6253.104,,724.417,7.57,1.3,24.7,,4,71.72,0.72,34627648,,,,
238,VUT,Oceania,Vanuatu,21/04/2024,12019,0,0,14,0,0,36784.149,0,0,42.847,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.662,23.1,4.394,2.62,2921.909,13.2,546.3,12.02,2.8,34.5,25.209,,70.47,0.609,326744,,,,
239,VAT,Europe,Vatican,21/04/2024,26,0,0,,0,0,32178.218,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.12,,808,,,,
240,VEN,South America,Venezuela,21/04/2024,552695,0,0,5856,0,0,19528.686,0,0,206.913,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.253,29,6.614,3.915,16745.022,,204.85,6.47,,,,0.8,72.06,0.711,28301700,,,,
241,VNM,Asia,Vietnam,21/04/2024,11624000,0,0,43206,0,0,118386.518,0,0,440.039,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,308.127,32.6,7.15,4.718,6171.884,2,245.465,6,1,45.9,85.847,2.6,75.4,0.704,98186856,,,,
242,WLF,Oceania,Wallis and Futuna,21/04/2024,3760,0,0,9,0,0,324249.741,0,0,776.13,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.94,,11596,,,,
243,OWID_WRL,,World,07/05/2024,775364247,29294,4184.857,7046320,498,71.143,97223.077,3.673,0.525,883.539,0.062,0.009,,,,,,,,,,,,,,,,,,,13570972934,5630429496,5176876327,2813694188,5458,6925,170.17,70.6,64.91,35.28,1,15,0,,58.045,30.9,8.696,5.355,15469.207,10,233.07,8.51,6.434,34.635,60.13,2.705,72.58,0.737,7975105024,,,,
244,YEM,Asia,Yemen,21/04/2024,11945,0,0,2159,0,0,354.487,0,0,64.072,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.508,20.3,2.922,1.583,1479.147,18.8,495.003,5.35,7.6,29.2,49.542,0.7,66.12,0.47,33696612,,,,
245,ZMB,Africa,Zambia,21/04/2024,349625,9,1.286,4069,0,0,17465.819,0.45,0.064,203.27,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.995,17.7,2.48,1.542,3689.251,57.5,234.499,3.94,3.1,24.7,13.938,2,63.89,0.584,20017670,,,,
246,ZWE,Africa,Zimbabwe,21/04/2024,266359,0,0,5740,0,0,16320.478,0,0,351.704,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.729,19.6,2.822,1.882,1899.775,21.4,307.846,1.82,1.6,30.7,36.791,1.7,61.49,0.571,16320539,,,,
