s_no,iso_code,continent,location,last_updated_date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,population,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
145,MNE,Europe,Montenegro,21/04/2024,251280,0,0,2654,0,0,400713.144,0,0,4232.301,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.28,39.1,14.762,9.395,16409.288,1,387.305,10.08,44,47.9,,3.861,76.88,0.829,627082,,,,
146,MSR,North America,Montserrat,21/04/2024,1403,0,0,8,0,0,317924.315,0,0,1812.826,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.16,,4413,,,,
147,MAR,Africa,Morocco,21/04/2024,1279038,0,0,16304,0,0,34145.945,0,0,435.261,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.08,29.6,6.769,4.209,7485.013,1,419.146,7.14,0.8,47.1,,1.1,76.68,0.686,37457976,,,,
148,MOZ,Africa,Mozambique,21/04/2024,233783,3,0.429,2252,0,0,7090.883,0.091,0.013,68.306,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.728,17.7,3.158,1.87,1136.103,62.9,329.942,3.3,5.1,29.1,12.227,0.7,60.85,0.456,32969520,,,,
149,MMR,Asia,Myanmar,21/04/2024,642044,31,4.429,19494,0,0,11850.354,0.572,0.082,359.805,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.721,29.1,5.732,3.12,5591.597,6.4,202.104,4.61,6.3,35.2,79.287,0.9,67.13,0.583,54179312,,,,
150,NAM,Africa,Namibia,21/04/2024,172403,0,0,4108,0,0,67160.65,0,0,1600.297,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.078,22,3.552,2.085,9541.808,13.4,243.811,3.94,9.7,34.2,44.6,,63.71,0.646,2567024,,,,
151,NRU,Oceania,Nauru,21/04/2024,5393,0,0,1,0,0,424946.813,0,0,78.796,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,682.45,,,,12895.635,,,24.07,43,36.9,,5,59.96,,12691,,,,
152,NPL,Asia,Nepal,21/04/2024,1003450,0,0,12031,0,0,32848.749,0,0,393.845,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,204.43,25,5.809,3.212,2442.804,15,260.797,7.26,9.5,37.8,47.782,0.3,70.78,0.602,30547586,,,,
153,NLD,Europe,Netherlands,06/05/2024,8636082,54,7.714,22986,0,0,491691.651,3.074,0.439,1308.698,0,0,,2,0.114,52,2.961,1,0.057,108,6.149,,,,,,,,,,,,,,,,,,,,,,,,508.544,43.2,18.779,11.881,48472.545,,109.361,5.29,24.4,27.3,,3.32,82.28,0.944,17564020,,,,
154,NCL,Oceania,New Caledonia,21/04/2024,80064,0,0,314,0,0,276121.797,0,0,1082.912,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.342,33.4,9.954,6.489,,,,23.36,,,,,77.55,,289959,,,,
155,NZL,Oceania,New Zealand,03/05/2024,2582892,0,0,3944,0,0,498119.198,0,0,760.613,0,0,,,,,,,,,,,,,,,,,,,13145039,,,4657600,,3259,253.51,,,89.82,629,,,,18.206,37.9,15.322,9.72,36085.843,,128.797,8.08,14.8,17.2,,2.61,82.29,0.931,5185289,,,,
156,NIC,North America,Nicaragua,21/04/2024,16141,1,0.143,245,0,0,2322.983,0.144,0.021,35.26,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.667,27.3,5.445,3.519,5321.444,3.2,137.016,11.47,,,,0.9,74.48,0.66,6948395,,,,
157,NER,Africa,Niger,21/04/2024,9515,0,0,315,0,0,363.057,0,0,12.019,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.955,15.1,2.553,1.378,926,44.5,238.339,2.42,0.1,15.4,8.978,0.3,62.42,0.394,26207982,,,,
158,NGA,Africa,Nigeria,21/04/2024,267188,0,0,3155,0,0,1222.598,0,0,14.437,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,209.588,18.1,2.751,1.447,5338.454,,181.013,2.42,0.6,10.8,41.949,,54.69,0.539,218541216,,,,
159,NIU,Oceania,Niue,21/04/2024,1059,0,0,,0,0,542520.492,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.71,,1952,,,,
160,OWID_NAM,,North America,01/05/2024,124543267,209,29.857,1663494,351,50.143,207460.202,0.348,0.05,2770.995,0.585,0.084,,,,,,,,,,,,,,,,,,,1158174251,458563506,394482952,255968596,2168,3546,192.92,76.39,65.71,42.64,6,0,0,,,,,,,,,,,,,,,,600323657,,,,
161,PRK,Asia,North Korea,21/04/2024,,0,0,,0,0,,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,211.701,35.3,9.491,6.139,,,321.681,4,,,,13.2,72.27,,26069416,,,,
162,MKD,Europe,North Macedonia,21/04/2024,350583,3,0.429,9977,0,0,167454.144,1.433,0.205,4765.462,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.6,39.1,13.26,8.16,13111.214,5,322.688,10.08,,,,4.28,75.8,0.774,2093606,,,,
163,MNP,Oceania,Northern Mariana Islands,21/04/2024,16448,0,0,41,0,0,331786.824,0,0,827.046,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119.878,,,,,,194.994,,,,,,76.74,,49574,,,,
164,NOR,Europe,Norway,21/04/2024,1507388,54,7.714,5732,0,0,277382.799,9.937,1.42,1054.777,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.462,39.7,16.821,10.813,64800.057,0.2,114.316,5.31,19.6,20.7,,3.6,82.4,0.957,5434324,,,,
165,OWID_OCE,,Oceania,03/05/2024,14918328,4442,634.571,32507,17,2.429,331232.362,98.626,14.089,721.755,0.377,0.054,,,,,,,,,,,,,,,,,,,87725046,28960501,28072902,25113875,3259,3116,194.78,64.3,62.33,55.76,69,0,0,,,,,,,,,,,,,,,,45038860,,,,
166,OMN,Asia,Oman,21/04/2024,399449,0,0,4628,0,0,87286.454,0,0,1011.297,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.98,30.7,2.355,1.53,37960.709,,266.342,12.61,0.5,15.6,97.4,1.6,77.86,0.813,4576300,,,,
167,PAK,Asia,Pakistan,21/04/2024,1580631,0,0,30656,0,0,6702.563,0,0,129.995,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,255.573,23.5,4.495,2.78,5034.708,4,423.031,8.35,2.8,36.7,59.607,0.6,67.27,0.557,235824864,,,,
168,PLW,Oceania,Palau,21/04/2024,6332,42,6,10,0,0,350143.774,2322.495,331.785,552.975,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.237,,,,13240.405,,,15.89,7.7,22.7,,4.8,73.7,0.826,18084,,,,
169,PSE,Asia,Palestine,21/04/2024,703228,0,0,5708,0,0,133946.251,0,0,1087.222,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,778.202,20.4,3.043,1.726,4449.898,1,265.91,10.59,,,,,74.05,0.708,5250076,,,,
170,PAN,North America,Panama,21/04/2024,1044315,0,0,8704,1,0.143,236882.29,0,0,1974.331,0.227,0.032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.133,29.7,7.918,5.03,22267.037,2.2,128.346,8.33,2.4,9.9,,2.3,78.51,0.815,4408582,,,,
171,PNG,Oceania,Papua New Guinea,21/04/2024,46864,0,0,670,0,0,4620.5,0,0,66.058,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.22,22.6,3.808,2.142,3823.194,,561.494,17.65,23.5,48.8,,,64.5,0.555,10142625,,,,
172,PRY,South America,Paraguay,21/04/2024,735759,0,0,19880,0,0,108507.104,0,0,2931.831,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.144,26.5,6.378,3.833,8827.01,1.7,199.128,8.27,5,21.6,79.602,1.3,74.25,0.728,6780745,,,,
173,PER,South America,Peru,21/04/2024,4524748,0,0,220831,0,0,132887.012,0,0,6485.57,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.129,29.1,7.151,4.455,12236.706,3.5,85.755,5.95,4.8,,,1.6,76.74,0.777,34049588,,,,
174,PHL,Asia,Philippines,21/04/2024,4140383,0,0,66864,0,0,35829.167,0,0,578.613,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,351.873,25.2,4.803,2.661,7599.188,,370.437,7.07,7.8,40.8,78.463,1,71.23,0.718,115559008,,,,
175,PCN,Oceania,Pitcairn,21/04/2024,4,0,0,,0,0,85106.383,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47,,,,
